signal_date,entry_date,symbol,score,gross_ret,net_ret,win,flag_bearTrap,flag_sellPressure,flag_lowSessionLiq,flag_lowVol,flag_volCritical,flag_deepDowntrend
2018-05-04,2018-05-07,HSG,6.0,-0.05873869149075646,-0.06273869149075646,False,True,False,False,False,False,True
2018-05-04,2018-05-07,NVL,6.0,0.0,-0.004,False,False,False,False,False,False,True
2018-05-04,2018-05-07,KDH,5.5,0.03812442100762489,0.03412442100762489,True,False,False,False,True,False,False
2018-05-04,2018-05-07,GAS,5.0,0.07425441265976865,0.07025441265976864,True,False,False,False,False,False,True
2018-05-07,2018-05-08,HSG,4.5,-0.1441372247823861,-0.1481372247823861,False,True,False,False,False,False,True
2018-05-07,2018-05-08,NVL,4.0,-0.057965657448166986,-0.06196565744816698,False,False,False,False,True,False,True
2018-05-14,2018-05-15,TPB,4.5,-0.023824162311712305,-0.027824162311712305,False,False,False,True,False,False,False
2018-05-16,2018-05-17,VNM,4.5,-0.02840082104870313,-0.032400821048703135,False,False,True,False,False,False,True
2018-05-17,2018-05-18,VNM,4.5,0.01324754933002364,0.00924754933002364,True,False,False,False,False,False,True
2018-05-21,2018-05-22,LPB,5.0,0.0079690346083787,0.0039690346083787,True,False,False,False,False,False,True
2018-05-21,2018-05-22,HSG,4.0,0.07898035938152949,0.07498035938152948,True,True,True,False,False,False,True
2018-05-22,2018-05-23,LPB,8.5,0.08337349397590363,0.07937349397590363,True,False,True,False,False,False,True
2018-05-22,2018-05-23,SHB,7.0,0.09002433090024343,0.08602433090024343,True,False,True,False,False,False,True
2018-05-22,2018-05-23,SSI,4.5,0.129987974199191,0.125987974199191,True,False,True,False,False,False,True
2018-05-22,2018-05-23,HSG,4.0,0.18849543837946503,0.18449543837946503,True,True,True,False,False,False,True
2018-05-23,2018-05-24,LPB,5.0,0.04930078217587089,0.045300782175870885,True,False,False,False,False,False,True
2018-05-23,2018-05-24,VIC,5.0,0.2058364833073405,0.2018364833073405,True,False,False,False,True,False,True
2018-05-23,2018-05-24,HSG,4.0,0.10903380197427462,0.10503380197427462,True,True,False,False,False,False,True
2018-05-23,2018-05-24,SHB,4.0,-0.010420058612829707,-0.014420058612829707,False,True,False,False,True,False,True
2018-05-24,2018-05-25,LPB,5.5,0.041338112305854255,0.03733811230585425,True,False,False,False,True,False,True
2018-05-24,2018-05-25,HDB,4.5,0.22268224160875355,0.21868224160875355,True,False,True,False,False,False,True
2018-05-24,2018-05-25,HSG,4.5,0.2362757330006238,0.2322757330006238,True,True,False,False,False,False,True
2018-05-25,2018-05-28,HDB,6.0,0.19721055788842223,0.19321055788842223,True,False,False,False,False,False,True
2018-05-25,2018-05-28,VPB,6.0,0.29746070133010893,0.29346070133010893,True,True,False,False,False,False,True
2018-05-25,2018-05-28,HSG,5.0,0.2946875504601972,0.2906875504601972,True,True,False,False,True,False,True
2018-05-25,2018-05-28,SHB,4.5,0.04518595759471684,0.04118595759471684,True,True,False,False,True,False,True
2018-05-28,2018-05-29,REE,8.5,0.08440639115485746,0.08040639115485745,True,False,True,False,False,False,True
2018-05-28,2018-05-29,LPB,7.0,0.06084988684938407,0.056849886849384065,True,False,True,False,False,False,True
2018-05-28,2018-05-29,STB,7.0,0.17431192660550462,0.17031192660550462,True,True,True,False,False,False,True
2018-05-28,2018-05-29,BID,6.0,0.1169271193472548,0.1129271193472548,True,False,True,False,False,False,True
